DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
Sep-07-2018 04:51 PM,Transfer at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-07-2018 03:54 PM,Transfer at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-07-2018 03:23 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-06-2018 09:31 AM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-05-2018 04:02 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-05-2018 12:05 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-04-2018 05:31 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-04-2018 01:02 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-04-2018 08:35 AM,Tap in at Bus Stop 119,3 Zone UPass (N),,$0.00,$14.70,,,,,
Aug-30-2018 08:59 AM,Tap in at Bus Stop 50044,Stored Value,,-$2.30,$14.70,,,,,
Aug-28-2018 01:20 PM,Transfer at Bus Stop 58099,Stored Value,,$0.00,$17.00,,,,,
Aug-28-2018 11:59 AM,Tap in at Bus Stop 50347,Stored Value,,-$2.30,$17.00,,,,,
Aug-27-2018 04:37 PM,Tap in at Bus Stop 61935,Stored Value,,-$2.30,$19.30,,,,,
Aug-27-2018 12:12 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$21.60,,,,,
Aug-27-2018 08:47 AM,Tap in at Bus Stop 58099,Stored Value,,-$2.30,$23.90,,,,,
Aug-26-2018 07:52 PM,Tap out at Inlet Centre Stn,Stored Value,,$0.00,$26.20,,,,,
Aug-26-2018 07:20 PM,Transfer at Commercial Drive Stn,Stored Value,,$0.00,$26.20,,,,,
Aug-26-2018 06:49 PM,Tap in at Bus Stop 50276,Stored Value,,-$2.30,$26.20,,,,,
Aug-26-2018 11:24 AM,Transfer at Bus Stop 50913,Stored Value,,$0.00,$28.50,,,,,
Aug-26-2018 11:19 AM,Tap out at Commercial Drive Stn,Stored Value,,$0.00,$28.50,,,,,
Aug-26-2018 11:06 AM,Tap in at Metrotown Stn,Stored Value,,-$2.30,$28.50,,,,,
Aug-26-2018 11:06 AM,Loaded at Metrotown Stn,3 Zone UPass (N),,$0.00,$30.80,,,,,
Aug-24-2018 02:51 PM,Tap in at Bus Stop 61701,Stored Value,,-$2.30,$30.80,,,,,
Aug-24-2018 12:35 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$33.10,,,,,
Aug-23-2018 06:33 PM,Tap in at Bus Stop 61701,Stored Value,,-$2.30,$35.40,,,,,
Aug-23-2018 03:02 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$37.70,,,,,
Aug-23-2018 03:02 PM,Loaded at Bus Stop 58023,Stored Value,,$42.10,$40.00,,,,,
Aug-20-2018 01:43 PM,Tap in at Bus Stop 50347,Stored Value,,-$2.30,-$2.10,,,,,
Aug-07-2018 11:48 AM,Tap in at Bus Stop 61935,Stored Value,,-$2.30,$0.20,,,,,
Aug-07-2018 08:48 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$2.50,,,,,
Aug-02-2018 03:31 PM,Transfer at Bus Stop 50913,Stored Value,,$0.00,$4.80,,,,,
Aug-02-2018 03:30 PM,Tap out at Commercial Drive Stn,Stored Value,,$0.00,$4.80,,,,,
Aug-02-2018 02:59 PM,Tap in at Inlet Centre Stn,Stored Value,,-$4.40,$4.80,,,,,
Aug-02-2018 02:35 PM,Tap out at Inlet Centre Stn,Stored Value,,$0.00,$9.20,,,,,
Aug-02-2018 02:04 PM,Transfer at Commercial Drive Stn,Stored Value,,-$2.10,$9.20,,,,,
Aug-02-2018 01:14 PM,Tap in at Bus Stop 50276,Stored Value,,-$2.30,$11.30,,,,,
Jul-31-2018 06:47 PM,Tap out at Inlet Centre Stn,1 Zone Monthly Pass,,$0.00,$13.60,,,,,
Jul-31-2018 06:14 PM,Transfer at Commercial Drive Stn,1 Zone Monthly Pass,,-$2.75,$13.60,,,,,
Jul-31-2018 05:37 PM,Tap in at Bus Stop 50276,1 Zone Monthly Pass,,$0.00,$16.35,,,,,
Jul-31-2018 01:36 PM,Transfer at Bus Stop 50913,1 Zone Monthly Pass,,$0.00,$16.35,,,,,
Jul-31-2018 01:36 PM,Tap out at Commercial Drive Stn,1 Zone Monthly Pass,,$0.00,$16.35,,,,,
